,id_EUMETSAT,url_tar
111,eos_1_modis,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_eos_1_modis_srf/rtcoef_eos_1_modis_srf.tar.gz
112,eos_2_modis,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_eos_2_modis_srf/rtcoef_eos_2_modis_srf.tar.gz
113,eos_1_modis-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_eos_1_modis-shifted_srf/rtcoef_eos_1_modis-shifted_srf.tar.gz
114,eos_2_modis-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_eos_2_modis-shifted_srf/rtcoef_eos_2_modis-shifted_srf.tar.gz
115,nimbus_2_mrir,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_nimbus_2_mrir_srf/rtcoef_nimbus_2_mrir_srf.tar.gz
116,nimbus_3_mrir,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_nimbus_3_mrir_srf/rtcoef_nimbus_3_mrir_srf.tar.gz
117,earthcare_1_msi,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_earthcare_1_msi_srf/rtcoef_earthcare_1_msi_srf.tar.gz
118,sentinel2_1_msi,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_sentinel2_1_msi_srf/rtcoef_sentinel2_1_msi_srf.tar.gz
119,sentinel2_2_msi,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_sentinel2_2_msi_srf/rtcoef_sentinel2_2_msi_srf.tar.gz
120,electro-l_2_msugs,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_electro-l_2_msugs_srf/rtcoef_electro-l_2_msugs_srf.tar.gz
121,meteor-m_1_msumr,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteor-m_1_msumr_srf/rtcoef_meteor-m_1_msumr_srf.tar.gz
122,meteor-m_2_msumr,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteor-m_2_msumr_srf/rtcoef_meteor-m_2_msumr_srf.tar.gz
123,mtsat_1_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_mtsat_1_imager_srf/rtcoef_mtsat_1_imager_srf.tar.gz
124,mtsat_2_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_mtsat_2_imager_srf/rtcoef_mtsat_2_imager_srf.tar.gz
125,meteosat_1_mviri,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteosat_1_mviri_srf/rtcoef_meteosat_1_mviri_srf.tar.gz
126,meteosat_2_mviri,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteosat_2_mviri_srf/rtcoef_meteosat_2_mviri_srf.tar.gz
127,meteosat_3_mviri,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteosat_3_mviri_srf/rtcoef_meteosat_3_mviri_srf.tar.gz
128,meteosat_4_mviri,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteosat_4_mviri_srf/rtcoef_meteosat_4_mviri_srf.tar.gz
129,meteosat_5_mviri,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteosat_5_mviri_srf/rtcoef_meteosat_5_mviri_srf.tar.gz
130,meteosat_6_mviri,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_meteosat_6_mviri_srf/rtcoef_meteosat_6_mviri_srf.tar.gz
